[2026-03-03 17:44:25] (ERROR @ C:\xampp\htdocs\srilankarentacar.com\core\vendor\xpdo\xpdo\src\xPDO\Cache\xPDOCacheManager.php : 319) PHP warning: mkdir(): File exists
[2026-03-03 17:44:25] (ERROR @ C:\xampp\htdocs\srilankarentacar.com\core\vendor\xpdo\xpdo\src\xPDO\Cache\xPDOCacheManager.php : 324) PHP warning: mkdir(): File exists
[2026-03-03 17:45:31] (ERROR @ C:\xampp\htdocs\srilankarentacar.com\core\src\Revolution\Sources\modMediaSource.php : 2244) PHP warning: exif_read_data(logo.png): File not supported
[2026-03-03 17:45:36] (ERROR @ C:\xampp\htdocs\srilankarentacar.com\core\src\Revolution\Sources\modMediaSource.php : 2244) PHP warning: exif_read_data(logo.ico): File not supported
[2026-03-03 17:45:36] (ERROR @ C:\xampp\htdocs\srilankarentacar.com\core\src\Revolution\Sources\modMediaSource.php : 2244) PHP warning: exif_read_data(whatsapp-icon.png): File not supported
[2026-03-03 17:45:39] (ERROR @ C:\xampp\htdocs\srilankarentacar.com\core\src\Revolution\Sources\modMediaSource.php : 2244) PHP warning: exif_read_data(award.png): File not supported
[2026-03-03 17:45:39] (ERROR @ C:\xampp\htdocs\srilankarentacar.com\core\src\Revolution\Sources\modMediaSource.php : 2244) PHP warning: exif_read_data(favicon.ico): File not supported
[2026-03-03 17:45:39] (ERROR @ C:\xampp\htdocs\srilankarentacar.com\core\src\Revolution\Sources\modMediaSource.php : 2244) PHP warning: exif_read_data(logo.png): File not supported
[2026-03-03 17:45:39] (ERROR @ C:\xampp\htdocs\srilankarentacar.com\core\src\Revolution\Sources\modMediaSource.php : 2244) PHP warning: exif_read_data(logo_white.png): File not supported
[2026-03-03 17:45:39] (ERROR @ C:\xampp\htdocs\srilankarentacar.com\core\src\Revolution\Sources\modMediaSource.php : 2244) PHP warning: exif_read_data(payment.png): File not supported
[2026-03-03 17:45:39] (ERROR @ C:\xampp\htdocs\srilankarentacar.com\core\src\Revolution\Sources\modMediaSource.php : 2244) PHP warning: exif_read_data(raca.png): File not supported
[2026-03-03 17:45:39] (ERROR @ C:\xampp\htdocs\srilankarentacar.com\core\src\Revolution\Sources\modMediaSource.php : 2244) PHP warning: exif_read_data(service-item-bg.jpg.png): File not supported
[2026-03-03 17:45:39] (ERROR @ C:\xampp\htdocs\srilankarentacar.com\core\src\Revolution\Sources\modMediaSource.php : 2244) PHP warning: exif_read_data(wedding-car.webp): File not supported
[2026-03-03 17:47:09] (ERROR @ C:\xampp\htdocs\srilankarentacar.com\core\src\Revolution\Sources\modMediaSource.php : 2244) PHP warning: exif_read_data(ajax-loader.gif): File not supported
[2026-03-03 17:47:11] (ERROR @ C:\xampp\htdocs\srilankarentacar.com\core\vendor\james-heinrich\phpthumb\phpthumb.class.php : 1591) PHP warning: file_get_contents(C:\xampp\htdocs\srilankarentacar.com\core\cache\phpthumb\phpThumbCacheIMversion.txt): Failed to open stream: No such file or directory
[2026-03-03 17:47:11] (ERROR @ C:\xampp\htdocs\srilankarentacar.com\core\vendor\james-heinrich\phpthumb\phpthumb.class.php : 1518) PHP warning: file_get_contents(C:\xampp\htdocs\srilankarentacar.com\core\cache\phpthumb\phpThumbCacheIMcommandlineBase.txt): Failed to open stream: No such file or directory
[2026-03-03 17:47:11] (ERROR @ C:\xampp\htdocs\srilankarentacar.com\core\vendor\james-heinrich\phpthumb\phpthumb.class.php : 2496) PHP warning: exif_read_data(ajax-loader.gif): File not supported
[2026-03-03 17:47:20] (ERROR @ C:\xampp\htdocs\srilankarentacar.com\core\src\Revolution\Sources\modMediaSource.php : 2244) PHP warning: exif_read_data(logo.png): File not supported
[2026-03-03 17:47:23] (ERROR @ C:\xampp\htdocs\srilankarentacar.com\core\src\Revolution\Sources\modMediaSource.php : 2244) PHP warning: exif_read_data(logo.ico): File not supported
[2026-03-03 17:47:23] (ERROR @ C:\xampp\htdocs\srilankarentacar.com\core\src\Revolution\Sources\modMediaSource.php : 2244) PHP warning: exif_read_data(whatsapp-icon.png): File not supported
[2026-03-03 17:47:23] (ERROR @ C:\xampp\htdocs\srilankarentacar.com\core\src\Revolution\Sources\modMediaSource.php : 2244) PHP warning: exif_read_data(ajax-loader.gif): File not supported
[2026-03-03 17:57:01] (ERROR @ C:\xampp\htdocs\srilankarentacar.com\core\src\Revolution\Sources\modMediaSource.php : 2244) PHP warning: exif_read_data(logo.png): File not supported
[2026-03-03 17:57:01] (ERROR @ C:\xampp\htdocs\srilankarentacar.com\core\src\Revolution\Sources\modMediaSource.php : 2244) PHP warning: exif_read_data(logo.ico): File not supported
[2026-03-03 17:57:01] (ERROR @ C:\xampp\htdocs\srilankarentacar.com\core\src\Revolution\Sources\modMediaSource.php : 2244) PHP warning: exif_read_data(whatsapp-icon.png): File not supported
[2026-03-03 17:57:02] (ERROR @ C:\xampp\htdocs\srilankarentacar.com\core\src\Revolution\Sources\modMediaSource.php : 2244) PHP warning: exif_read_data(ajax-loader.gif): File not supported
[2026-03-03 17:57:06] (ERROR @ C:\xampp\htdocs\srilankarentacar.com\core\src\Revolution\Sources\modMediaSource.php : 2244) PHP warning: exif_read_data(award.png): File not supported
[2026-03-03 17:57:06] (ERROR @ C:\xampp\htdocs\srilankarentacar.com\core\src\Revolution\Sources\modMediaSource.php : 2244) PHP warning: exif_read_data(favicon.ico): File not supported
[2026-03-03 17:57:06] (ERROR @ C:\xampp\htdocs\srilankarentacar.com\core\src\Revolution\Sources\modMediaSource.php : 2244) PHP warning: exif_read_data(logo.png): File not supported
[2026-03-03 17:57:06] (ERROR @ C:\xampp\htdocs\srilankarentacar.com\core\src\Revolution\Sources\modMediaSource.php : 2244) PHP warning: exif_read_data(logo_white.png): File not supported
[2026-03-03 17:57:07] (ERROR @ C:\xampp\htdocs\srilankarentacar.com\core\src\Revolution\Sources\modMediaSource.php : 2244) PHP warning: exif_read_data(payment.png): File not supported
[2026-03-03 17:57:07] (ERROR @ C:\xampp\htdocs\srilankarentacar.com\core\src\Revolution\Sources\modMediaSource.php : 2244) PHP warning: exif_read_data(raca.png): File not supported
[2026-03-03 17:57:07] (ERROR @ C:\xampp\htdocs\srilankarentacar.com\core\src\Revolution\Sources\modMediaSource.php : 2244) PHP warning: exif_read_data(service-item-bg.jpg.png): File not supported
[2026-03-03 17:57:07] (ERROR @ C:\xampp\htdocs\srilankarentacar.com\core\src\Revolution\Sources\modMediaSource.php : 2244) PHP warning: exif_read_data(wedding-car.webp): File not supported
[2026-03-03 17:58:38] (ERROR @ C:\xampp\htdocs\srilankarentacar.com\core\src\Revolution\Sources\modMediaSource.php : 2244) PHP warning: exif_read_data(logo.png): File not supported
[2026-03-03 17:58:38] (ERROR @ C:\xampp\htdocs\srilankarentacar.com\core\src\Revolution\Sources\modMediaSource.php : 2244) PHP warning: exif_read_data(logo.ico): File not supported
[2026-03-03 17:58:38] (ERROR @ C:\xampp\htdocs\srilankarentacar.com\core\src\Revolution\Sources\modMediaSource.php : 2244) PHP warning: exif_read_data(whatsapp-icon.png): File not supported
